clone_id	n_cells
clone_0739	1
clone_0740	1
clone_0741	1
clone_0742	1
clone_0743	1
clone_0744	1
clone_0745	1
clone_0746	1
clone_0747	1
clone_0748	1
clone_0749	1
clone_0750	1
clone_0751	1
clone_0752	1
clone_0753	1
clone_0754	1
clone_0755	1
clone_0756	1
clone_0757	1
clone_0758	1
clone_0759	1
clone_0760	1
clone_0761	1
clone_0762	1
clone_0763	1
clone_0764	1
clone_0765	1
clone_0766	1
clone_0767	1
clone_0768	1
clone_0769	1
clone_0770	1
clone_0771	1
clone_0772	1
clone_0773	1
clone_0774	1
clone_0775	1
clone_0776	1
clone_0777	1
clone_0778	1
clone_0779	1
clone_0780	1
clone_0781	1
clone_0782	1
clone_0783	1
clone_0784	1
clone_0785	1
clone_0786	1
clone_0787	1
clone_0788	1
clone_0789	1
clone_0790	1
clone_0791	1
clone_0792	1
clone_0793	1
clone_0794	1
clone_0795	1
clone_0796	1
clone_0797	1
clone_0798	1
clone_0799	1
clone_0800	1
clone_0801	1
clone_0802	1
clone_0803	1
clone_0804	1
clone_0805	1
clone_0806	1
clone_0807	1
clone_0808	1
clone_0809	1
clone_0810	1
clone_0811	1
clone_0812	1
clone_0813	1
clone_0814	1
clone_0815	1
clone_0816	1
clone_0817	1
clone_0818	1
clone_0819	1
clone_0820	1
clone_0821	1
clone_0822	1
clone_0823	1
clone_0824	1
clone_0825	1
clone_0826	1
clone_0827	1
clone_0828	1
clone_0829	1
clone_0830	1
clone_0831	1
clone_0832	1
clone_0833	1
clone_0834	1
clone_0835	1
clone_0836	1
clone_0837	1
clone_0838	1
clone_0839	1
clone_0840	1
clone_0841	1
clone_0842	1
clone_0843	1
clone_0844	1
clone_0845	1
clone_0846	1
clone_0847	1
clone_0848	1
clone_0849	1
clone_0850	1
clone_0851	1
clone_0852	1
clone_0853	1
clone_0854	1
clone_0855	1
clone_0856	1
clone_0857	1
clone_0858	1
clone_0859	1
clone_0860	1
clone_0861	1
clone_0862	1
clone_0863	1
clone_0864	1
clone_0865	1
clone_0866	1
clone_0867	1
clone_0868	1
clone_0869	1
clone_0870	1
clone_0871	1
clone_0872	1
clone_0873	1
clone_0874	1
clone_0875	1
clone_0876	1
clone_0877	1
clone_0878	1
clone_0879	1
clone_0880	1
clone_0881	1
clone_0882	1
clone_0883	1
clone_0884	1
clone_0885	1
clone_0886	1
clone_0887	1
clone_0888	1
clone_0889	1
clone_0890	1
clone_0891	1
clone_0892	1
clone_0893	1
clone_0894	1
clone_0895	1
clone_0896	1
clone_0897	1
clone_0898	1
clone_0899	1
clone_0900	1
clone_0901	1
clone_0902	1
clone_0903	1
clone_0904	1
clone_0905	1
clone_0906	1
clone_0907	1
clone_0908	1
clone_0909	1
clone_0910	1
clone_0911	1
clone_0912	1
clone_0913	1
clone_0914	1
clone_0915	1
clone_0916	1
clone_0917	1
clone_0918	1
clone_0919	1
clone_0920	1
clone_0921	1
clone_0922	1
clone_0923	1
clone_0924	1
clone_0925	1
clone_0926	1
clone_0927	1
clone_0928	1
clone_0929	1
clone_0930	1
clone_0931	1
clone_0932	1
clone_0933	1
clone_0934	1
clone_0935	1
clone_0936	1
clone_0937	1
clone_0938	1
clone_0939	1
clone_0940	1
clone_0941	1
clone_0942	1
clone_0943	1
clone_0944	1
clone_0945	1
clone_0946	1
clone_0947	1
clone_0948	1
clone_0949	1
clone_0950	1
clone_0951	1
clone_0952	1
clone_0953	1
clone_0954	1
clone_0955	1
clone_0956	1
clone_0957	1
clone_0958	1
clone_0959	1
clone_0960	1
clone_0961	1
clone_0962	1
clone_0963	1
clone_0964	1
clone_0965	1
clone_0966	1
clone_0967	1
clone_0968	1
clone_0969	1
clone_0970	1
clone_0971	1
clone_0972	1
clone_0973	1
clone_0974	1
clone_0975	1
clone_0976	1
clone_0977	1
clone_0978	1
clone_0979	1
clone_0980	1
clone_0981	1
clone_0982	1
clone_0983	1
clone_0984	1
clone_0985	1
clone_0986	1
clone_0987	1
clone_0988	1
clone_0989	1
clone_0990	1
clone_0991	1
clone_0992	1
clone_0993	1
clone_0994	1
clone_0995	1
clone_0996	1
clone_0997	1
clone_0998	1
clone_0999	1
clone_1000	1
clone_1001	1
clone_1002	1
clone_1003	1
clone_1004	1
clone_1005	1
clone_1006	1
clone_1007	1
clone_1008	1
clone_1009	1
clone_1010	1
clone_1011	1
clone_1012	1
clone_1013	1
clone_1014	1
clone_1015	1
clone_1016	1
clone_1017	1
clone_1018	1
clone_1019	1
clone_1020	1
clone_1021	1
clone_1022	1
clone_1023	1
clone_1024	1
clone_1025	1
clone_1026	1
clone_1027	1
clone_1028	1
clone_1029	1
clone_1030	1
clone_1031	1
clone_1032	1
clone_1033	1
clone_1034	1
clone_1035	1
clone_1036	1
clone_1037	1
clone_1038	1
clone_1039	1
clone_1040	1
clone_1041	1
clone_1042	1
clone_1043	1
clone_1044	1
clone_1045	1
clone_1046	1
clone_1047	1
clone_1048	1
clone_1049	1
clone_1050	1
clone_1051	1
clone_1052	1
clone_1053	1
clone_1054	1
clone_1055	1
clone_1056	1
clone_1057	1
clone_1058	1
clone_1059	1
clone_1060	1
clone_1061	1
clone_1062	1
clone_1063	1
clone_1064	1
clone_1065	1
clone_1066	1
clone_1067	1
clone_1068	1
clone_1069	1
clone_1070	1
clone_1071	1
clone_1072	1
clone_1073	1
clone_1074	1
clone_1075	1
clone_1076	1
clone_1077	1
clone_1078	1
clone_1079	1
clone_1080	1
clone_1081	1
clone_1082	1
clone_1083	1
clone_1084	1
clone_1085	1
clone_1086	1
clone_1087	1
clone_1088	1
clone_1089	1
clone_1090	1
clone_1091	1
clone_1092	1
clone_1093	1
clone_1094	1
clone_1095	1
clone_1096	1
clone_1097	1
clone_1098	1
clone_1099	1
clone_1100	1
clone_1101	1
clone_1102	1
clone_1103	1
clone_1104	1
clone_1105	1
clone_1106	1
clone_1107	1
clone_1108	1
clone_1109	1
clone_1110	1
clone_1111	1
clone_1112	1
clone_1113	1
clone_1114	1
clone_1115	1
clone_1116	1
clone_1117	1
clone_1118	1
clone_1119	1
clone_1120	1
clone_1121	1
clone_1122	1
clone_1123	1
clone_1124	1
clone_1125	1
clone_1126	1
clone_1127	1
clone_1128	1
clone_1129	1
clone_1130	1
clone_1131	1
clone_1132	1
clone_1133	1
clone_1134	1
clone_1135	1
clone_1136	1
clone_1137	1
clone_1138	1
clone_1139	1
clone_1140	1
clone_1141	1
clone_1142	1
clone_1143	1
clone_1144	1
clone_1145	1
clone_1146	1
clone_1147	1
clone_1148	1
clone_1149	1
clone_1150	1
clone_1151	1
clone_1152	1
clone_1153	1
clone_1154	1
clone_1155	1
clone_1156	1
clone_1157	1
clone_1158	1
clone_1159	1
clone_1160	1
clone_1161	1
clone_1162	1
clone_1163	1
clone_1164	1
clone_1165	1
clone_1166	1
clone_1167	1
clone_1168	1
clone_1169	1
clone_1170	1
clone_1171	1
clone_1172	1
clone_1173	1
clone_1174	1
clone_1175	1
clone_1176	1
clone_1177	1
clone_1178	1
clone_1179	1
clone_1180	1
clone_1181	1
clone_1182	1
clone_1183	1
clone_1184	1
clone_1185	1
clone_1186	1
clone_1187	1
clone_1188	1
clone_1189	1
clone_1190	1
clone_1191	1
clone_1192	1
clone_1193	1
clone_1194	1
clone_1195	1
clone_1196	1
clone_1197	1
clone_1198	1
clone_1199	1
clone_1200	1
clone_1201	1
clone_1202	1
clone_1203	1
clone_1204	1
clone_1205	1
clone_1206	1
clone_1207	1
clone_1208	1
clone_1209	1
clone_1210	1
clone_1211	1
clone_1212	1
clone_1213	1
clone_1214	1
clone_1215	1
clone_1216	1
clone_1217	1
clone_1218	1
clone_1219	1
clone_1220	1
clone_1221	1
clone_1222	1
clone_1223	1
clone_1224	1
clone_1225	1
clone_1226	1
clone_1227	1
clone_1228	1
clone_1229	1
clone_1230	1
clone_1231	1
clone_1232	1
clone_1233	1
clone_1234	1
clone_1235	1
clone_1236	1
clone_1237	1
clone_1238	1
clone_1239	1
clone_1240	1
clone_1241	1
clone_1242	1
clone_1243	1
clone_1244	1
clone_1245	1
clone_1246	1
clone_1247	1
clone_1248	1
clone_1249	1
clone_1250	1
clone_1251	1
clone_1252	1
clone_1253	1
clone_1254	1
clone_1255	1
clone_1256	1
clone_1257	1
clone_1258	1
clone_1259	1
clone_1260	1
clone_1261	1
clone_1262	1
clone_1263	1
clone_1264	1
clone_1265	1
clone_1266	1
clone_1267	1
clone_1268	1
clone_1269	1
clone_1270	1
clone_1271	1
clone_1272	1
clone_1273	1
clone_1274	1
clone_1275	1
clone_1276	1
clone_1277	1
clone_1278	1
clone_1279	1
clone_1280	1
clone_1281	1
clone_1282	1
clone_1283	1
clone_1284	1
clone_1285	1
clone_1286	1
clone_1287	1
clone_1288	1
clone_1289	1
clone_1290	1
clone_1291	1
clone_1292	1
clone_1293	1
clone_1294	1
clone_1295	1
clone_1296	1
clone_1297	1
clone_1298	1
clone_1299	1
clone_1300	1
clone_1301	1
clone_1302	1
clone_1303	1
clone_1304	1
clone_1305	1
clone_1306	1
clone_1307	1
clone_1308	1
clone_1309	1
clone_1310	1
clone_1311	1
clone_1312	1
clone_1313	1
clone_1314	1
clone_1315	1
clone_1316	1
clone_1317	1
clone_1318	1
clone_1319	1
clone_1320	1
clone_1321	1
clone_1322	1
clone_1323	1
clone_1324	1
clone_1325	1
clone_1326	1
clone_1327	1
clone_1328	1
clone_1329	1
clone_1330	1
clone_1331	1
clone_1332	1
clone_1333	1
clone_1334	1
clone_1335	1
clone_1336	1
clone_1337	1
clone_1338	1
clone_1339	1
clone_1340	1
clone_1341	1
